Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,33.312499,33.687499,32.749999,32.8125,595800,20.502169
2000-01-04,32.499999,32.562499,31.25,31.8125,464900,19.87734
2000-01-05,31.8125,32.374999,31.0625,32.0,719100,19.994495
2000-01-06,32.499999,35.437499,31.8125,34.125,1485100,21.322255
2000-01-07,34.187498,36.999998,33.687499,36.5,1297000,22.806222
2000-01-10,35.000001,35.624999,33.75,34.249999,1052400,21.400358
2000-01-11,33.999998,34.625001,32.4375,32.687499,1260600,20.424064
2000-01-12,33.0,33.812498,32.749999,33.249999,1592400,20.77553
2000-01-13,33.062499,33.999998,33.0,33.0,479900,20.619324
2000-01-14,33.0,33.312499,32.25,32.374999,1283600,20.228806
2000-01-18,32.124999,32.374999,30.749998,30.812499,1050000,19.252512
2000-01-19,31.499998,31.625,30.6875,30.875,880300,19.291564
2000-01-20,30.624999,30.624999,29.75,29.874999,648000,18.666736
2000-01-21,30.999999,31.312498,28.499999,28.9375,998600,18.08096
2000-01-24,30.749998,30.749998,29.375,30.187499,1053500,18.861994
2000-01-25,30.249999,31.25,29.75,31.0625,1620900,19.408719
2000-01-26,30.5,31.562499,29.874999,31.499998,1079500,19.682081
2000-01-27,30.875,31.187499,30.437499,30.875,636900,19.291564
2000-01-28,30.624999,30.624999,28.999998,29.812499,930900,18.627684
2000-01-31,30.062499,30.062499,29.437499,29.624999,755100,18.510528
2000-02-01,29.624999,30.875,29.499999,30.624999,717300,19.135357
2000-02-02,30.624999,30.812499,30.062499,30.374999,847000,18.979149
2000-02-03,30.374999,31.0625,30.374999,30.749998,583800,19.21346
2000-02-04,30.999999,30.999999,30.562499,30.875,475400,19.291564
2000-02-07,30.875,30.999999,30.5,30.812499,542300,19.252512
2000-02-08,30.374999,30.875,30.062499,30.187499,472100,18.861994
2000-02-09,29.812499,29.999999,28.624998,28.624998,878200,17.8857
2000-02-10,28.9375,28.9375,27.562499,28.062498,876400,17.534235
2000-02-11,28.062498,28.375,26.5,26.937499,720200,16.831303
2000-02-14,27.499999,28.687499,27.25,28.687499,628700,17.924752
2000-02-15,28.9375,29.687499,28.124999,28.999998,665200,18.120011
2000-02-16,28.9375,29.249999,27.937499,28.0,544400,17.495184
2000-02-17,28.375,28.9375,27.499999,28.499999,433400,17.807597
2000-02-18,28.249998,28.312499,26.562499,27.0625,487600,16.909408
2000-02-22,26.562499,28.312499,26.562499,27.8125,824200,17.378028
2000-02-23,28.0,28.062498,27.124999,27.187499,512500,16.987511
2000-02-24,27.187499,27.374999,26.0625,26.374999,1063100,16.479838
2000-02-25,26.624999,26.749999,25.999999,26.125,1118100,16.323631
2000-02-28,26.374999,26.875,25.937498,26.125,520200,16.323631
2000-02-29,25.937498,26.4375,25.624999,25.749998,1049600,16.08932
2000-03-01,25.749998,26.125,25.3125,25.937498,2037900,16.206475
